Actor,Gross
Employee#17,2.38
Employee#14,2.63
Employee#22,2.765
Employee#18,3.23
Employee#9,3.91
Employee#2,3.95
Employee#26,4.03
Employee#32,4.06
Employee#28,4.085
Employee#1,4.145
Employee#33,4.15
Employee#34,4.17
Employee#15,4.35
Employee#29,4.47
Employee#5,4.54
Employee#27,4.58
Employee#7,4.71
Employee#21,4.72
Employee#3,4.845
Employee#25,4.875
Employee#23,4.93
Employee#30,4.97
Employee#16,4.98
Employee#24,4.98
Employee#11,5
Employee#20,5
Employee#35,5.02
Employee#13,5.07
Employee#31,5.07
Employee#12,5.075
Employee#19,5.49
Employee#10,8
Employee#4,8
Employee#8,8


















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































